month,user_id,segment,total_sessions,total_events,total_purchases,total_spend,spend_per_session,purchases_per_session
October,534293701,returning,4,6,2,2681.34,670.33,0.5
November,533487259,loyal,8,10,2,2679.19,334.9,0.25
October,561174399,returning,3,6,2,2678.97,892.99,0.67
November,574907873,returning,4,4,2,2676.72,669.18,0.5
November,516167479,returning,4,5,2,2676.46,669.12,0.5
November,565488812,returning,5,6,2,2675.98,535.2,0.4
November,514785873,returning,3,4,2,2675.46,891.82,0.67
October,512938545,loyal,10,16,5,2675.05,267.51,0.5
November,572184591,returning,2,2,2,2674.97,1337.49,1.0
November,524077305,loyal,9,16,2,2674.56,297.17,0.22
November,516863519,loyal,7,7,2,2674.46,382.07,0.29
November,550372469,returning,3,5,2,2673.26,891.09,0.67
November,541377134,returning,2,4,2,2673.26,1336.63,1.0
November,551801600,loyal,29,41,6,2672.79,92.17,0.21
November,517548573,returning,3,3,2,2672.13,890.71,0.67
October,543354154,loyal,11,17,3,2671.34,242.85,0.27
November,553584008,loyal,10,13,2,2669.38,266.94,0.2
October,513815353,returning,3,3,2,2665.76,888.59,0.67
November,562255111,returning,2,3,2,2665.47,1332.74,1.0
October,559773310,loyal,12,19,5,2664.54,222.05,0.42
November,550672767,loyal,35,70,3,2661.42,76.04,0.09
October,541992522,returning,5,6,3,2660.81,532.16,0.6
October,513266807,loyal,13,19,2,2660.17,204.63,0.15
October,539144765,loyal,16,23,7,2659.09,166.19,0.44
October,539340977,loyal,12,14,2,2658.64,221.55,0.17
November,572095039,loyal,16,29,3,2657.63,166.1,0.19
November,518301885,returning,5,8,3,2647.8,529.56,0.6
October,516489628,loyal,22,26,8,2647.4,120.34,0.36
October,538175187,loyal,18,33,4,2646.62,147.03,0.22
October,564247360,loyal,12,25,2,2645.75,220.48,0.17
October,512408968,loyal,12,19,3,2645.64,220.47,0.25
October,557349524,loyal,10,21,2,2644.57,264.46,0.2
October,563412828,loyal,13,18,6,2642.6,203.28,0.46
October,530522688,loyal,25,33,6,2641.69,105.67,0.24
November,518262021,returning,2,3,2,2641.48,1320.74,1.0
